SampleID	Life_stage	Treatment	plasma_chol	plasma_tri	muc13	il1b	ifnr	il10	tgfb	cd8b	cd3	myd88	zo-1	claudin15	claudin-25b	plasma_nutrients	qPCR_immune	qPCR_barrier
456	SW2	Test	5.6	2.5	7.443	0.077	0.016	0.039	0.104	0.271	0.192	1.032	0.86	2.84	1.33	-0.36	-0.68	0
457	SW2	Test	7.7	3.3	6.455	0.044	0.047	0.063	0.09	0.38	0.252	0.773	0.89	2.35	1.17	0.91	-1.21	-0.4
458	SW2	Test	7.3	2.8	8.282	0.028	0.066	0.072	0.092	0.482	0.273	1.14	1.17	3.26	1.33	0.48	-2.12	0.63
467	SW2	Test	6.5	2.3	7.466	0.038	0.048	0.086	0.088	0.215	0.134	1.014	0.91	2.6	1.26	-0.15	-0.69	-0.13
468	SW2	Test	6.9	3	6.103	0.015	0.017	0.035	0.055	0.277	0.153	0.777	0.85	2.13	0.85	0.47	1	-1.07
469	SW2	Test	7	3.1	12.687	0.081	0.049	0.097	0.126	0.412	0.295	1.688	1.75	5.73	1.7	0.57	-3.53	2.34
645	SW3	Ref	5.5	2.9	7.539	0.085	0.047	0.047	0.146	0.672	0.242	1.434	1.62	3.08	1.76	-0.14	-2.59	1.42
646	SW3	Ref	8.1	2.1	4.025	0.015	0.019	0.035	0.099	0.608	0.22	0.979	1.45	2	0.69	0.21	-0.09	-0.7
649	SW3	Ref	7.8	3.4	5.938	0.067	0.018	0.026	0.108	0.306	0.152	0.989	1.27	2.17	1.13	1	-0.02	-0.05
651	SW3	Ref	5.9	3.1	4.751	0.025	0.012	0.026	0.094	0.338	0.142	1.037	1.3	1.7	0.75	0.15	0.77	-0.96
654	SW3	Ref	7	4.5	6.339	0.037	0.05	0.047	0.115	0.334	0.18	1.255	1.62	2.65	0.96	1.24	-1.11	0.32
661	SW3	Ref	7.7	4.6	7.554	0.029	0.043	0.052	0.161	0.456	0.189	1.382	1.8	3.09	1.18	1.51	-1.78	0.99
662	SW3	Ref	6.5	3.3	5.842	0.027	0.028	0.044	0.105	0.336	0.178	1.132	1.39	2.68	1.13	0.5	-0.51	0.36
663	SW3	Ref	4.5	2.2	6.329	0.018	0.034	0.032	0.105	0.314	0.166	1.247	1.51	3.29	0.85	-1.12	-0.3	0.35
641	SW3	Test	7.7	3.3	6.415	0.022	0.073	0.04	0.09	0.169	0.126	1.148	1.22	2.27	1.14	0.91	0.04	-0.04
642	SW3	Test	7.6	3.1	5.804	0.023	0.025	0.021	0.087	0.323	0.151	0.893	1.24	2.38	0.87	0.77	0.59	-0.34
655	SW3	Test	7.5	3.6	6.045	0.043	0.012	0.023	0.083	0.328	0.127	0.992	1.29	2.11	1.05	1	0.66	-0.18
656	SW3	Test	7	3.5	7.007	0.025	0.044	0.061	0.132	0.352	0.158	1.226	1.47	1.9	1.01	0.79	-1.16	-0.19
657	SW3	Test	5.7	3.3	7.647	0.026	0.026	0.03	0.103	0.302	0.135	1.362	1.6	2.64	1.48	0.18	-0.31	0.93
667	SW3	Test	7.6	3.7	5.552	0.036	0.028	0.042	0.101	0.371	0.153	1.17	1.68	2.67	1.23	1.09	-0.43	0.75
668	SW3	Test	6.2	2.5	7.503	0.04	0.048	0.064	0.125	0.473	0.186	1.453	1.9	3.16	1.3	-0.12	-1.93	1.23
669	SW3	Test	6.3	3.8	5.687	0.019	0.03	0.036	0.096	0.272	0.127	0.954	1.3	1.89	1.15	0.68	0.43	-0.2
