
#OTU ID	SRR12545290	SRR12545291	SRR12545292	SRR12545293	SRR12545294	SRR12545295	SRR12545296	SRR12545297	SRR12545298	SRR12545299	SRR12545300	SRR12545301	SRR12545302	SRR12545303	SRR12545304	SRR12545305	SRR12545306	SRR12545307	SRR12545308	SRR12545309	SRR12545310	SRR12545311	SRR12545312	SRR12545313	SRR12545314	SRR12545315	SRR12545316	SRR12545317	SRR12545318	SRR12545319	SRR12545320	SRR12545321	SRR12545322	SRR12545323	SRR12545324	SRR12545325	SRR12545326	SRR12545327	SRR12545328	SRR12545329	SRR12545330	SRR12545386	SRR12545387	SRR12545388	SRR12545389	SRR12545390	SRR12545391	SRR12545392	SRR12545393	SRR12545394	SRR12545395	SRR12545396	SRR12545397	SRR12545398	SRR12545399	SRR12545400	SRR12545401	SRR12545402	SRR12545403	SRR12545404	SRR12545405	SRR12545406	SRR12545407	SRR12545408	SRR12618555	SRR12618556	SRR12618557	SRR12618558	SRR12618559	SRR12618560	SRR12618561	SRR12618562	SRR12618563	SRR12618564	SRR12618565	SRR12618566	SRR12618567	SRR12618568	SRR12618569	SRR12618570
1CMET2-PWY	38248.56163783273	28779.448611859374	17460.75251168552	18260.47214960994	28901.374186716497	16095.690167214821	20867.848093808076	25575.088076336924	20697.172588810565	19345.422199841636	18256.03774062979	4400.457769571014	16201.490585625004	10432.707627725085	8545.924260085043	40748.453652893855	46679.767786271455	22371.028888905756	20484.999363678056	34516.265882542255	35150.27825950745	28640.240370484564	26119.70433088402	17690.894375725624	17797.618328561704	42722.7678723926	20366.75919400508	9632.688011697492	14989.832332311244	36271.69224537915	18143.307327257728	42674.21238759864	16319.511897963534	72112.85363959358	45158.988646372985	29118.04849520724	22097.80116684847	23060.03637462136	23137.239917836494	6011.506132685196	15249.382201242552	28783.499734867066	32139.894075298267	23574.51518660742	22963.127956568707	18327.87249039499	28828.52783024518	17056.49451160847	37764.73278599731	23276.938328296186	29649.250780362436	15640.185103619491	21398.8241328622	22095.536395357416	34814.82598628449	5356.283033294528	24022.73173925734	11101.84048196165	11779.591812765533	13280.455682329593	23560.966928444708	18694.590005972852	32852.01511011866	16543.083907776487	23753.931637080434	16887.51926488443	36464.44391026591	19682.180709447883	34298.102718894595	15036.316271479844	21015.852863555716	14647.982504627353	38410.77579926456	23061.128574675913	12363.766517354235	15798.572573846333	15311.460558802875	25521.231382875198	23093.654919094417	10110.666651261152
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	1.3371450091440393	127.01487484116991	1078.0616609547014	1522.1478393943848	2349.2526871369337	731.8869410695313	1676.5064021868295	19.65969808777578	1381.306752202085	969.7866857534185	1092.5049226929057	60.44003296631967	856.4006516310633	676.2881692762983	352.6705608184136	1934.5485827098803	906.3744574395394	384.6300006071749	259.9673383861879	683.0804377045683	0.0	533.2352932577412	739.2001864497159	267.4092888267181	313.34839113898687	1041.1460858043108	394.8548140607957	160.20805411829681	1264.8258962641883	780.0522999068106	557.5209189630143	1645.4022609804992	585.79276680657	0.0	0.0	1308.4967047084012	2131.345613590384	926.40825269425	1791.7221208570622	186.75788449294845	1426.7074361526081	1094.553985267467	1569.4192839858063	325.07938573647135	229.8195659903564	898.5592748253727	674.6975253696824	1135.467357499495	1933.4251629187959	388.9117558278141	1960.2188108955565	912.2723481231689	583.9093685151225	726.5691636294638	1834.2042865341757	104.18432160297182	790.4654558436854	95.3742758649552	185.12246103321445	496.17751437134336	424.16028625859974	484.94730268512734	1648.880708477748	1531.0043812327526	4873.10222744265	3814.0236312980696	22892.708203400347	12466.111340755391	21020.948526094166	8630.3528592404	12846.59909692884	8989.343473154871	7117.321548078015	5768.947888809856	3184.3681870603104	9075.325750113037	4109.725103947743	3068.0546761727596	14348.981445870679	6247.908539481905
AEROBACTINSYN-PWY	0.0	0.0	259.20992142036596	305.6818263472777	374.4072948328267	168.9705234746786	333.58503106437496	43.118644067796616	2.9300142979108594	158.44649353099305	125.12204112868413	0.0	108.29659483844375	128.52723068005005	65.62420061794927	790.6107141574885	865.4044754209879	326.8367092799499	429.5927470661848	347.247802734375	82.05847838934636	412.37085318319623	360.9224478719074	191.64070711896798	339.6225272547584	458.4840756351125	300.95664183889903	118.96400801985871	193.38769284158172	921.6827872643586	313.1492413835461	460.09972199621836	232.07410461828462	0.0	0.0	285.15836936723707	174.8170560677946	462.99014157551835	430.0986491848272	105.49455298460431	192.60207167561742	69.32106441183785	67.30211385045297	139.66265060240966	109.35950107882836	83.24005913869794	580.4370602769857	159.9757748106171	59.565259351636584	165.8701445988092	93.52241918665275	158.36489259243749	128.52736037117464	272.69921629978097	150.8100276725741	0.0	117.07317073170731	39.4092836596777	11.304855178162116	72.12210733628754	76.48129126925899	44.65	355.32763285770636	112.1522247029482	29.445617143391868	0.0	819.2315629742033	484.0	817.4000000000001	350.19949413658316	487.8	358.6	126.7898105370237	41.71188811188811	96.08121827411168	357.12775463839455	52.41119731860219	97.88559729410652	527.749872171196	239.8
ALL-CHORISMATE-PWY	0.0	0.0	5023.202196857814	5764.334210331913	8561.895390476076	5204.269321435577	7867.088017044046	1134.2882931911356	3706.8073036726237	8502.892517864777	4855.382615524312	244.3338717985075	5776.64069851872	5149.904566809429	3299.2498017817315	14068.037390927771	9216.43491781955	3644.452436341468	2970.65094311205	4705.740695112909	0.0	3479.834141446842	4600.45270348454	1081.393861559447	2871.104277991191	6413.447516611349	2810.1885312862964	1040.2954636122304	3320.575099756479	7402.6826670629125	3735.71855174842	7050.171789430314	5670.509334426419	6978.2468418680655	10185.442543127347	4839.790484326481	6298.626439885762	6482.638586633104	6518.71790842362	386.72613531092344	4158.270421998028	5321.062877414935	4854.23688339558	4795.901396973543	4148.706774946837	2124.4998745700123	3863.6963401881544	6467.828169810837	8608.782541893639	3071.3484482842073	6917.104289583408	5389.2891994745605	3448.3492255983006	4682.916277050674	7587.345116778419	842.9205859520218	4672.015738247862	2875.680622192087	93.77881366401415	2044.6543068080862	1946.656079463441	2117.917152761317	12562.166402910465	5168.124201629629	6918.632204546999	5570.290810866841	32153.13400040981	17492.678312756012	30186.116332046222	12691.600518655847	18469.263393011912	13060.205167356933	14700.5327503576	7787.793255079501	0.0	13171.026061573926	7643.1738835757305	5968.399105896858	20502.859424943494	8965.525705203967
ANAEROFRUCAT-PWY	22095.869989459872	915.2252220584592	21843.170481161837	24246.580797663595	41234.600229062235	24411.664732520036	28457.42096296473	13117.239706977685	30339.645820368005	31048.910003647354	29363.58096331717	7484.797018881498	26305.483265029	16648.562334172733	13812.283977554629	52190.4642755599	58318.489772928835	26586.97189383405	27050.11078282991	53074.913634678036	0.0	42142.55268353869	42206.59259026138	35936.435984685624	22667.458721243762	61181.70688446976	30393.699368300517	15350.879273262522	18863.410288182746	45615.93838750458	23075.695300688345	58178.21559187907	22097.041003745213	5676.50000233181	10046.006918843872	36197.20636865099	29350.95029088794	27223.387619835656	31037.155649425204	19877.48755169232	21008.989645688274	47325.431532877075	53105.96530297021	43266.250250839825	16088.504058490866	25738.187877033484	47839.90386019397	26065.691299715072	59350.944912512605	40052.2406150509	45673.74414448564	24925.896871729194	41533.81425120375	37276.39850748618	58991.40761671523	10607.478409425461	40297.44891017836	18415.393533062906	22726.48483656527	22713.157244150756	40540.9041313033	32135.488159811262	50632.55707974134	24332.991339576718	20967.207779350952	11978.205595383444	47867.74529578387	25995.494661009376	46000.109323633915	19271.807204908873	28297.506102691146	19740.639862716947	36664.09467594181	21828.87607078616	11566.000045058063	19981.50455350712	13315.508638724972	24366.014939716413	30917.953798635954	13484.176158073647
ANAGLYCOLYSIS-PWY	34342.06142021341	11162.593636470094	23721.07016263195	28815.051348510562	45971.30319084064	23347.6398418507	30158.420279432856	31141.798995631045	32543.435213643214	29383.8332077696	27992.074030447362	18307.239123263378	25323.105300240553	15808.703004252562	13269.661642038227	53004.526528994546	57343.54962568848	26761.264626717144	27385.252673654933	50573.55456078575	41647.99861034082	40449.19508526398	52898.49397062824	52833.86576271991	22549.7266624646	58843.998279202315	29531.02604187996	14755.211100821716	20733.41525161877	44814.254449662185	22794.536695946015	59725.74398166084	22574.785915389977	7999.721248221043	15991.973831940557	37716.199889783165	31767.80146679184	28596.799358404354	36751.51492309343	44437.2269608552	22761.50744813749	44116.00895708884	50585.08963410867	40038.81793875577	27149.30213676819	88019.90870585696	67823.84324513195	25035.10847865624	60198.07417962527	38131.914546377404	44262.34897952371	24147.170041422112	54493.984127253716	34316.37756586536	55165.93461437332	18411.10780089626	38159.69703486932	17541.03476265977	27087.02701412841	21305.501129284345	37716.2960336378	30194.378918399074	47980.37158811297	24831.158276265898	27820.235959751764	17863.222911458597	46043.22478326744	24891.225551946838	44722.364076050195	18734.00975592046	27629.796984334975	18933.94538425444	41210.11330847249	24597.693839246407	13951.026343407582	19331.640021453943	16717.011474669587	30312.238452866124	29769.10761856138	12962.99044049808
ARG+POLYAMINE-SYN	686.3947928775395	0.0	9017.684347102128	7761.758301834803	16415.36241966496	7919.870464389828	9441.13946404882	960.0095168323866	7191.07425397759	8891.093407987495	8718.687282630284	925.5878280677963	5700.772704941175	5019.110609387793	3301.3534026229304	19812.563966216836	21025.38821145681	9543.758229846773	9443.551836876712	13471.970818623386	15.775239729435132	10837.793776827846	9142.210298813761	4564.952167529467	8729.96613925909	17112.965948930556	7462.909294763519	2922.365412799362	7707.29594874223	17940.94349224149	9153.145320556636	19665.3244178564	7489.127810654753	7611.238235297303	12164.592508669693	14190.51469210193	12363.568459487471	12357.063721397159	12089.851266036354	2917.1591750728717	7394.384444135986	9479.156217079893	12329.17846540594	5081.39238139205	1777.8075737971126	7178.509669174811	5609.020549293027	8510.489879070883	11505.852298284724	5805.911244436359	12053.102804908522	7589.318605301042	3621.696007878247	6354.350123444636	11746.53839236146	1042.8469340298254	8153.088552748835	2899.4318416680676	1513.1128160168048	3824.1774179337585	6455.335889318229	5036.93480721616	14798.297177397722	7112.457566743769	7622.793189092421	5061.997010483919	37408.63226204933	20267.83126235337	34923.24477136955	14388.524484189275	21378.361338663075	14974.284912201678	12258.197182073709	6574.3118526114995	3479.695315273647	14898.183090679042	6358.6630314458225	9821.748109545	23655.862370772193	10350.321854521251
ARGDEG-PWY	0.0	0.0	230.78264604812045	14.921314920593089	328.5164101052645	398.31663621298287	499.42536978942263	25.822407005353224	132.33202433883906	452.2825736843441	272.45803368185864	0.0	141.15478380345974	288.60140110077816	54.7690686943777	977.9475162551333	681.117963451788	176.66575810383236	147.31305665319186	205.0141949921857	0.0	262.68454836921205	335.3263064478566	58.660501053211775	259.5580973905802	550.9906195196119	159.7223800570678	57.576094680272654	154.22277438114617	304.7592501457388	191.15586871594343	412.64856605144786	328.51746895172727	0.0	0.0	199.32544500159034	276.16313691476125	150.970202940537	274.28405156863965	33.13591600745043	9.23356181663619	280.08724541895896	829.8981394955437	71.47618889050501	297.8890002264841	120.58619044566797	40.05543485667734	270.2594182904294	597.3293351762584	143.42006546928124	262.08225861729244	101.08754690996443	153.26403212894115	443.83126682281244	252.76550607055773	95.1962882670362	240.97939802930898	44.60955982199379	4.3887270654976644	201.28836900325666	48.801058944688016	25.13899733654197	365.4137566758806	102.01035196238811	417.24693811606073	130.9864753281186	5062.292201377134	2871.123234720005	4886.926636565869	1957.3172287695013	2975.8106059547868	2169.844100918977	1194.2857695182815	492.8514921976909	0.0	2271.5117308684007	555.5485888175668	699.2772844925543	3208.311906831995	1471.9400064322338
ARGORNPROST-PWY	1756.4407835327825	20674.896538691697	9243.578309831764	7624.482597339373	13819.020254677345	5968.430170069536	10112.768268660058	1235.1323785289478	5887.119032111768	7083.580997936427	6797.4589216859085	809.5382928910665	5569.733708166316	4270.166579519004	3299.5454925780177	16316.9272326996	15616.713838774036	8386.350226797495	6617.010676631597	14656.964641770734	87.83502388010746	11143.195684135357	5663.504649565672	3117.923503549155	6337.529114569135	15966.15200162272	7231.910619204965	4230.251481509431	7554.294009966866	12910.627493392687	6363.8028354370235	15959.337216752201	6430.191684841199	5483.940505928964	683.3872799303001	14726.502944691785	11365.436792837434	11279.91172098077	9930.66340871892	1771.7986971607031	7149.43260497611	12080.872633384408	13594.777735794858	6923.7918661975555	2432.371905511688	3910.9343270601994	4626.89455181842	7079.67408549686	13301.367906749801	7441.214402494415	12521.22138937726	5581.335915350143	4357.1647196502045	8359.98173421574	15161.739811865158	1068.0329009155314	8096.808765878777	3331.674882360387	2676.4720618039814	6493.696026333041	7425.729389342139	8808.992696741545	13441.136147705825	6328.83903211584	11051.859679667561	6498.969788952579	38372.936800655676	20626.051758829988	38201.77650108398	15330.637295379778	23764.30969436792	15667.598922372441	19418.74732520371	13437.204796072316	5875.583596297243	15919.907763835141	6879.439523116287	14248.047376656483	24995.29751223146	10823.253628488028
ARGSYN-PWY	30656.04210745084	25956.8564833701	19238.02290056396	23772.002009072196	36987.413953709314	19303.87199977174	26844.211501672766	27007.273058769908	19674.070876938036	24630.20848968828	23599.06319990926	2784.699697430486	21305.905313632316	13360.75191254119	10966.050000693565	49447.60784510862	52643.61011574844	24457.377818460238	25879.79333122486	41735.74652433474	36678.77153781481	33023.22937865203	51308.95558456734	51848.053017238395	20148.521428705204	50745.10196538004	25817.154096404003	11608.453928105713	16199.66632119181	40402.46985306397	20881.814195152303	52655.3883887139	19554.508344461567	30397.23226106604	22017.139336967844	31661.73317507447	25585.95587194643	24209.185779579453	30692.20359492439	38316.10998357597	18715.434774168967	35651.5266010673	39159.38836310694	34311.68911534086	23759.196393582468	75910.03240328815	20432.123711564745	20912.838763360585	39053.39629920236	28909.91014480191	35134.29985246253	20579.419738808698	16067.81762131336	28013.867482491412	43133.77721368997	3714.897430125813	30227.72724647447	12837.139818368156	10144.417684301352	16988.887248153478	30316.47250746789	22575.12793012967	40752.23262430193	19568.052236081807	22979.400485554703	15952.152195721404	46463.31950748768	25062.708516177405	44918.55355286351	18772.82282144445	27720.523128702298	18948.601148659804	35469.298542774144	22343.31808878128	12434.601379638585	19474.21986323068	14979.122116957082	25116.579560203492	29898.454830645536	13027.112942482136
