Feature ID	Taxon	Confidence
7f35abe442750d5b31c2bac9af4cbe31	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__Lactobacillus_phage	0.9979403707697287
835100726217ab5a7e1f6dac2643a3fb	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__Pseudomonas_aeruginosa	0.9895153171901937
ed5395dd81ec6eaf64fb7c184b765b68	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Vibrionales; f__Vibrionaceae; g__Photobacterium; s__uncultured_gamma	0.8441903189857385
bd5ae4950d3dc34c5e24b155e9178907	d__Bacteria; p__Firmicutes; c__Clostridia; o__Peptostreptococcales-Tissierellales; f__Peptostreptococcaceae	0.8912446970965751
2ebf0820ada0e4fac337a06225dd0ac6	d__Bacteria; p__Firmicutes; c__Bacilli; o__Mycoplasmatales; f__Mycoplasmataceae; g__Mycoplasma; s__uncultured_bacterium	0.9003339907430898
906419d1b432207167f8d96fc2f9d431	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium	0.9970577508812636
af5648bc460511f29a1a226fd3c38691	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__Streptomyces_sp.	0.9989315238793318
72bc3687828b1fb88c381d1c3dc8eb54	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Propionibacteriales; f__Propionibacteriaceae; g__Cutibacterium; s__Cutibacterium_acnes	0.9315608301221784
92e1ff73cc8b8bef1440bec27a03af6b	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Propionibacteriales; f__Propionibacteriaceae; g__Cutibacterium; s__Cutibacterium_acnes	0.933644055616225
fbc88746787be1f6ce1e5ea2f58d03cc	d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales	0.9566314308793289
a6dd4ae795ddf44cca4394dda91de5c0	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Chloroplast; f__Chloroplast; g__Chloroplast; s__Pisum_sativum	0.9283289137817332
1dadf42d458d6445ace294ebedfab311	d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales	0.963479130107692
c722878a5dc99011834a3c3aced39a67	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__Pseudomonas_aeruginosa	0.9907953863251721
420d2b0e30410a7acfa6be6ea6f944f9	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__Streptomyces_sp.	0.9986575135359191
